Timestamp,User Number,Test Number,How urgent was the feedback?,Was the feedback clearly felt?,Was the feedback distracting?,Was the feedback alarming?,Was the feedback uncomfortable or painful?,General remarks & comments?
2017/08/01 2:02:44 PM GMT+2,1,1,3,5,4,3,1,
2017/08/01 2:04:23 PM GMT+2,1,2,3,5,5,2,1,
2017/08/01 2:05:27 PM GMT+2,1,3,4,5,5,2,1,
2017/08/01 2:06:46 PM GMT+2,1,4,4,5,5,3,1,
2017/08/01 2:08:23 PM GMT+2,1,5,3,5,5,2,1,
2017/08/01 2:09:42 PM GMT+2,1,6,3,4,4,2,1,
2017/08/01 2:10:43 PM GMT+2,1,7,1,2,3,1,1,
2017/08/01 2:12:03 PM GMT+2,1,8,4,5,5,3,1,
2017/08/01 2:13:23 PM GMT+2,1,9,3,5,5,3,1,
2017/08/01 2:14:54 PM GMT+2,1,A,3,5,5,3,1,
2017/08/01 2:16:04 PM GMT+2,1,B,4,5,5,3,1,
2017/08/01 2:17:09 PM GMT+2,1,C,4,5,5,2,1,
2017/08/01 2:18:19 PM GMT+2,1,D,4,5,5,3,1,
2017/08/01 2:19:39 PM GMT+2,1,E,5,5,5,5,2,
2017/08/01 2:20:52 PM GMT+2,1,F,3,5,5,3,1,
2017/08/01 2:21:57 PM GMT+2,1,G,5,5,5,5,2,
2017/08/01 2:24:01 PM GMT+2,1,H,3,5,5,2,1,
2017/08/01 2:26:36 PM GMT+2,1,I,3,5,5,3,1,
2017/08/01 2:27:40 PM GMT+2,1,J,2,3,3,1,1,
2017/08/01 2:28:54 PM GMT+2,1,K,4,5,5,2,1,
2017/08/01 2:29:59 PM GMT+2,1,L,2,4,4,1,1,
2017/08/01 2:31:14 PM GMT+2,1,M,3,5,5,2,1,
2017/08/01 2:32:30 PM GMT+2,1,N,2,5,5,2,1,
2017/08/01 2:34:09 PM GMT+2,1,O,3,4,4,2,1,
2017/08/01 2:35:27 PM GMT+2,1,P,2,3,3,1,1,
2017/08/01 3:19:54 PM GMT+2,2,1,3,4,4,3,1,
2017/08/01 3:21:54 PM GMT+2,2,2,4,4,4,4,1,
2017/08/01 3:22:56 PM GMT+2,2,3,5,5,5,5,1,
2017/08/01 3:24:13 PM GMT+2,2,4,5,5,5,5,1,
2017/08/01 3:25:29 PM GMT+2,2,5,3,4,3,3,1,
2017/08/01 3:26:30 PM GMT+2,2,6,2,3,3,3,1,
2017/08/01 3:28:44 PM GMT+2,2,7,1,1,1,1,1,
2017/08/01 3:29:43 PM GMT+2,2,8,4,4,4,4,1,
2017/08/01 3:31:21 PM GMT+2,2,9,4,4,4,4,1,
2017/08/01 3:32:43 PM GMT+2,2,A,3,4,5,4,1,
2017/08/01 3:33:29 PM GMT+2,2,B,4,4,4,5,1,
2017/08/01 3:34:50 PM GMT+2,2,C,5,5,5,5,1,
2017/08/01 3:36:32 PM GMT+2,2,D,5,5,5,5,1,
2017/08/01 3:37:11 PM GMT+2,2,E,5,5,5,5,1,
2017/08/01 3:38:22 PM GMT+2,2,F,2,4,2,2,1,
2017/08/01 3:39:09 PM GMT+2,2,G,5,5,5,5,1,
2017/08/01 3:40:08 PM GMT+2,2,H,3,4,3,3,1,
2017/08/01 3:41:06 PM GMT+2,2,I,4,4,4,3,1,
2017/08/01 3:42:03 PM GMT+2,2,J,3,4,4,3,1,
2017/08/01 3:42:54 PM GMT+2,2,K,4,4,4,4,1,
2017/08/01 3:43:52 PM GMT+2,2,L,5,4,4,4,1,
2017/08/01 3:44:49 PM GMT+2,2,M,4,4,4,4,1,
2017/08/01 3:46:01 PM GMT+2,2,N,4,3,4,3,1,
2017/08/01 3:47:19 PM GMT+2,2,O,5,4,4,4,1,
2017/08/01 3:48:38 PM GMT+2,2,P,4,4,4,4,1,
2017/08/01 4:13:06 PM GMT+2,3,1,2,5,3,3,3,A bit loud. I heard it more than i felt it
2017/08/01 4:14:44 PM GMT+2,3,2,4,5,4,4,3,Too much
2017/08/01 4:15:48 PM GMT+2,3,3,3,5,2,3,4,
2017/08/01 4:16:51 PM GMT+2,3,4,3,5,5,3,4,
2017/08/01 4:18:05 PM GMT+2,3,5,3,4,2,2,4,
2017/08/01 4:19:13 PM GMT+2,3,6,4,5,3,4,2,
2017/08/01 4:20:26 PM GMT+2,3,7,3,4,2,2,1,
2017/08/01 4:21:23 PM GMT+2,3,8,3,5,5,2,4,
2017/08/01 4:22:32 PM GMT+2,3,9,2,5,2,2,4,
2017/08/01 4:23:25 PM GMT+2,3,A,2,5,4,2,4,
2017/08/01 4:24:14 PM GMT+2,3,B,3,5,3,3,4,
2017/08/01 4:25:09 PM GMT+2,3,C,4,5,4,4,2,
2017/08/01 4:26:01 PM GMT+2,3,D,5,5,4,5,2,
2017/08/01 4:26:52 PM GMT+2,3,E,3,5,3,3,3,
2017/08/01 4:28:08 PM GMT+2,3,F,2,5,2,3,1,
2017/08/01 4:29:06 PM GMT+2,3,G,3,5,4,3,4,
2017/08/01 4:30:08 PM GMT+2,3,H,3,5,3,2,4,
2017/08/01 4:31:35 PM GMT+2,3,I,4,5,2,3,1,
2017/08/01 4:32:35 PM GMT+2,3,J,4,5,2,3,1,
2017/08/01 4:34:23 PM GMT+2,3,K,4,5,4,2,3,
2017/08/01 4:35:25 PM GMT+2,3,L,5,5,3,4,2,
2017/08/01 4:36:30 PM GMT+2,3,M,3,5,2,3,2,
2017/08/01 4:37:34 PM GMT+2,3,N,1,5,2,2,1,
2017/08/01 4:38:40 PM GMT+2,3,O,3,5,2,4,1,
2017/08/01 4:41:26 PM GMT+2,3,P,2,5,3,2,1,I think the number of Repetitions does Not  make a difference with regards to the urgency
2017/08/02 10:24:24 AM GMT+2,4,1,3,4,2,4,1,
2017/08/02 10:25:30 AM GMT+2,4,2,4,5,4,4,1,
2017/08/02 10:26:48 AM GMT+2,4,3,3,5,3,4,1,
2017/08/02 10:27:45 AM GMT+2,4,4,5,5,5,4,1,
2017/08/02 10:28:26 AM GMT+2,4,5,4,5,3,3,1,
2017/08/02 10:29:26 AM GMT+2,4,6,3,5,3,2,3,
2017/08/02 10:30:41 AM GMT+2,4,7,3,4,3,2,2,
2017/08/02 10:31:35 AM GMT+2,4,8,5,5,4,4,1,
2017/08/02 10:32:43 AM GMT+2,4,9,5,5,4,5,1,
2017/08/02 10:33:37 AM GMT+2,4,A,5,5,4,5,1,
2017/08/02 10:34:17 AM GMT+2,4,B,5,5,4,4,3,
2017/08/02 10:35:16 AM GMT+2,4,C,5,5,4,4,4,
2017/08/02 10:35:54 AM GMT+2,4,D,5,5,4,5,4,
2017/08/02 10:36:44 AM GMT+2,4,E,4,4,4,3,2,
2017/08/02 10:37:58 AM GMT+2,4,F,2,3,2,3,1,
2017/08/02 10:38:49 AM GMT+2,4,G,4,3,4,5,1,
2017/08/02 10:39:30 AM GMT+2,4,H,4,5,3,4,1,
2017/08/02 10:40:38 AM GMT+2,4,I,5,5,4,4,4,
2017/08/02 10:41:38 AM GMT+2,4,J,2,4,3,2,2,
2017/08/02 10:42:35 AM GMT+2,4,K,5,5,5,4,4,
2017/08/02 10:44:09 AM GMT+2,4,L,4,5,3,4,3,
2017/08/02 10:44:53 AM GMT+2,4,M,3,4,3,4,1,
2017/08/02 10:45:40 AM GMT+2,4,N,3,3,3,3,1,
2017/08/02 10:46:49 AM GMT+2,4,O,4,4,4,4,3,
2017/08/02 10:47:39 AM GMT+2,4,P,3,4,2,2,2,
2017/08/02 11:05:09 AM GMT+2,5,1,2,5,1,4,1,
2017/08/02 11:06:33 AM GMT+2,5,2,4,5,2,4,1,
2017/08/02 11:07:34 AM GMT+2,5,3,4,5,3,4,1,
2017/08/02 11:08:41 AM GMT+2,5,4,4,5,5,5,3,
2017/08/02 11:09:57 AM GMT+2,5,5,5,5,3,4,2,
2017/08/02 11:11:09 AM GMT+2,5,6,3,5,2,2,1,
2017/08/02 11:12:12 AM GMT+2,5,7,2,2,1,1,1,
2017/08/02 11:13:15 AM GMT+2,5,8,4,5,4,4,3,
2017/08/02 11:14:11 AM GMT+2,5,9,4,5,5,4,3,
2017/08/02 11:15:15 AM GMT+2,5,A,5,5,5,4,3,
2017/08/02 11:16:10 AM GMT+2,5,B,5,5,5,4,3,
2017/08/02 11:17:27 AM GMT+2,5,C,4,5,3,3,2,
2017/08/02 11:18:56 AM GMT+2,5,D,3,5,3,4,2,
2017/08/02 11:19:50 AM GMT+2,5,E,3,5,2,4,1,
2017/08/02 11:20:57 AM GMT+2,5,F,3,5,1,3,1,
2017/08/02 11:22:06 AM GMT+2,5,G,5,5,3,5,2,
2017/08/02 11:22:57 AM GMT+2,5,H,3,5,3,4,2,
2017/08/02 11:24:09 AM GMT+2,5,I,3,5,2,4,2,
2017/08/02 11:25:17 AM GMT+2,5,J,2,4,2,2,1,
2017/08/02 11:26:16 AM GMT+2,5,K,4,5,3,4,3,
2017/08/02 11:27:01 AM GMT+2,5,L,2,5,2,3,2,
2017/08/02 11:27:54 AM GMT+2,5,M,3,5,1,4,1,
2017/08/02 11:28:42 AM GMT+2,5,N,4,5,2,4,1,
2017/08/02 11:30:01 AM GMT+2,5,O,4,5,2,4,2,
2017/08/02 11:31:06 AM GMT+2,5,P,4,5,1,3,1,
2017/08/02 2:13:35 PM GMT+2,6,1,4,5,2,4,1,
2017/08/02 2:14:35 PM GMT+2,6,2,4,5,3,4,3,
2017/08/02 2:15:36 PM GMT+2,6,3,4,5,4,5,3,
2017/08/02 2:16:57 PM GMT+2,6,4,5,5,5,4,4,
2017/08/02 2:17:48 PM GMT+2,6,5,4,5,4,4,3,
2017/08/02 2:18:43 PM GMT+2,6,6,2,2,1,2,1,
2017/08/02 2:19:33 PM GMT+2,6,7,1,2,1,1,1,
2017/08/02 2:20:35 PM GMT+2,6,8,4,5,3,4,3,
2017/08/02 2:21:33 PM GMT+2,6,9,4,5,4,3,3,
2017/08/02 2:22:35 PM GMT+2,6,A,4,5,4,5,4,
2017/08/02 2:23:41 PM GMT+2,6,B,4,5,3,3,3,
2017/08/02 2:24:39 PM GMT+2,6,C,4,3,3,3,2,
2017/08/02 2:25:40 PM GMT+2,6,D,4,5,2,4,1,
2017/08/02 2:26:32 PM GMT+2,6,E,5,5,2,5,4,
2017/08/02 2:27:43 PM GMT+2,6,F,3,5,1,2,2,
2017/08/02 2:28:55 PM GMT+2,6,G,4,5,4,5,3,
2017/08/02 2:29:51 PM GMT+2,6,H,3,5,3,3,2,
2017/08/02 2:30:49 PM GMT+2,6,I,3,4,2,3,2,
2017/08/02 2:31:47 PM GMT+2,6,J,2,3,1,2,1,
2017/08/02 2:32:46 PM GMT+2,6,K,3,5,2,4,2,
2017/08/02 2:33:45 PM GMT+2,6,L,2,2,1,1,1,
2017/08/02 2:34:56 PM GMT+2,6,M,3,5,3,4,3,
2017/08/02 2:36:14 PM GMT+2,6,N,2,5,2,2,2,
2017/08/02 2:37:12 PM GMT+2,6,O,3,4,2,4,2,
2017/08/02 2:38:21 PM GMT+2,6,P,2,3,2,2,1,
2017/08/02 3:08:40 PM GMT+2,7,1,5,5,5,5,4,I felt shocked a little bit
2017/08/02 3:09:59 PM GMT+2,7,2,4,5,4,5,4,
2017/08/02 3:10:45 PM GMT+2,7,3,5,5,5,5,5,
2017/08/02 3:11:49 PM GMT+2,7,4,5,5,5,5,4,
2017/08/02 3:12:45 PM GMT+2,7,5,4,4,4,4,3,
2017/08/02 3:13:27 PM GMT+2,7,6,3,3,4,2,3,
2017/08/02 3:14:19 PM GMT+2,7,7,2,3,2,2,2,
2017/08/02 3:16:52 PM GMT+2,7,8,5,5,5,3,5,
2017/08/02 3:18:56 PM GMT+2,7,9,5,5,4,5,4,
2017/08/02 3:19:56 PM GMT+2,7,A,4,5,5,4,5,
2017/08/02 3:20:59 PM GMT+2,7,B,5,5,5,5,4,
2017/08/02 3:23:14 PM GMT+2,7,C,5,5,5,5,4,
2017/08/02 3:24:44 PM GMT+2,7,D,5,5,5,4,4,
2017/08/02 3:25:27 PM GMT+2,7,E,5,5,3,5,3,
2017/08/02 3:25:59 PM GMT+2,7,F,4,5,2,3,1,
2017/08/02 3:26:36 PM GMT+2,7,G,5,5,5,4,5,
2017/08/02 3:30:33 PM GMT+2,7,H,5,5,4,4,3,
2017/08/02 3:31:56 PM GMT+2,7,I,5,5,4,4,4,
2017/08/02 3:32:47 PM GMT+2,7,J,3,5,2,2,1,
2017/08/02 3:33:29 PM GMT+2,7,K,5,5,5,4,5,
2017/08/02 3:35:52 PM GMT+2,7,L,5,5,4,4,3,
2017/08/02 3:36:35 PM GMT+2,7,M,5,5,4,5,4,
2017/08/02 3:37:55 PM GMT+2,7,N,5,5,3,3,4,
2017/08/02 3:38:50 PM GMT+2,7,O,5,5,5,4,4,
2017/08/02 3:39:38 PM GMT+2,7,P,3,4,3,1,2,
2017/08/03 10:05:48 AM GMT+2,8,1,2,4,2,2,2,
2017/08/03 10:06:58 AM GMT+2,8,2,3,5,4,3,3,
2017/08/03 10:07:46 AM GMT+2,8,3,4,4,4,4,3,
2017/08/03 10:08:48 AM GMT+2,8,4,3,4,3,2,2,
2017/08/03 10:09:44 AM GMT+2,8,5,3,4,3,3,3,
2017/08/03 10:10:57 AM GMT+2,8,6,2,2,3,2,2,
2017/08/03 10:11:47 AM GMT+2,8,7,2,2,2,1,1,
2017/08/03 10:12:36 AM GMT+2,8,8,3,4,4,3,3,
2017/08/03 10:13:51 AM GMT+2,8,9,3,4,3,3,2,Sounds Like a highscore in a Gameboy
2017/08/03 10:14:40 AM GMT+2,8,A,3,5,5,3,4,
2017/08/03 10:15:32 AM GMT+2,8,B,3,5,4,3,4,
2017/08/03 10:16:21 AM GMT+2,8,C,5,5,5,4,5,
2017/08/03 10:17:05 AM GMT+2,8,D,5,5,4,4,4,
2017/08/03 10:17:44 AM GMT+2,8,E,5,5,4,5,4,
2017/08/03 10:18:30 AM GMT+2,8,F,4,4,4,4,3,
2017/08/03 10:22:34 AM GMT+2,8,H,4,4,3,4,3,
2017/08/03 10:23:37 AM GMT+2,8,G,4,5,4,4,3,
2017/08/03 10:24:18 AM GMT+2,8,I,4,4,4,3,3,
2017/08/03 10:24:58 AM GMT+2,8,J,3,3,3,2,3,
2017/08/03 10:26:00 AM GMT+2,8,K,3,5,5,3,4,
2017/08/03 10:26:48 AM GMT+2,8,L,4,4,3,4,3,
2017/08/03 10:27:38 AM GMT+2,8,M,5,5,4,5,3,
2017/08/03 10:28:21 AM GMT+2,8,N,3,5,5,4,3,
2017/08/03 10:29:04 AM GMT+2,8,O,4,5,4,4,3,
2017/08/03 10:29:54 AM GMT+2,8,P,4,4,4,3,3,
2017/08/03 1:41:03 PM GMT+2,9,1,2,3,3,1,1,I heard it but did not feel much of the vibro feedback
2017/08/03 1:41:53 PM GMT+2,9,2,3,4,4,4,1,
2017/08/03 1:43:00 PM GMT+2,9,3,4,5,4,4,1,
2017/08/03 1:43:54 PM GMT+2,9,4,5,5,5,4,1,
2017/08/03 1:45:25 PM GMT+2,9,5,4,5,3,3,1,Sounded somewhat broken
2017/08/03 1:46:18 PM GMT+2,9,6,2,3,4,2,1,
2017/08/03 1:47:04 PM GMT+2,9,7,1,1,2,1,1,
2017/08/03 1:47:56 PM GMT+2,9,8,3,4,3,3,1,
2017/08/03 1:49:11 PM GMT+2,9,9,3,4,4,3,1,Signal is a little bit too long
2017/08/03 1:50:38 PM GMT+2,9,A,2,4,5,3,2,Way too lengthy
2017/08/03 1:51:39 PM GMT+2,9,B,2,4,3,2,1,
2017/08/03 1:52:30 PM GMT+2,9,C,3,4,4,3,2,Tickles
2017/08/03 1:53:31 PM GMT+2,9,D,4,5,5,4,3,
2017/08/03 1:54:37 PM GMT+2,9,E,4,5,5,5,1,
2017/08/03 1:55:16 PM GMT+2,9,F,2,4,3,2,1,
2017/08/03 1:56:06 PM GMT+2,9,G,4,5,5,5,1,
2017/08/03 1:56:59 PM GMT+2,9,H,3,5,4,4,1,
2017/08/03 1:58:12 PM GMT+2,9,I,3,4,5,3,2,Uncomfortable to have Vibration on top of the head
2017/08/03 1:59:12 PM GMT+2,9,J,1,2,3,2,1,
2017/08/03 2:00:39 PM GMT+2,9,K,4,5,4,3,3,Tickles
2017/08/03 2:01:32 PM GMT+2,9,L,3,5,4,3,2,
2017/08/03 2:02:21 PM GMT+2,9,M,3,5,4,4,1,
2017/08/03 2:03:38 PM GMT+2,9,N,3,5,3,3,1,"The Signals should Stop, after Shifting the View From the target"
2017/08/03 2:04:26 PM GMT+2,9,O,4,5,5,4,2,
2017/08/03 2:05:09 PM GMT+2,9,P,3,5,4,3,2,
2017/08/03 3:45:00 PM GMT+2,10,1,3,5,3,4,3,
2017/08/03 3:45:53 PM GMT+2,10,2,4,5,4,4,4,
2017/08/03 3:46:50 PM GMT+2,10,3,4,5,4,4,4,
2017/08/03 3:47:39 PM GMT+2,10,4,4,5,5,4,4,
2017/08/03 3:48:22 PM GMT+2,10,5,4,5,4,4,3,
2017/08/03 3:49:08 PM GMT+2,10,6,4,5,5,5,4,
2017/08/03 3:49:50 PM GMT+2,10,7,2,4,2,2,2,
2017/08/03 3:50:47 PM GMT+2,10,8,5,5,4,5,4,
2017/08/03 3:51:35 PM GMT+2,10,9,5,5,4,5,3,
2017/08/03 3:52:19 PM GMT+2,10,A,5,5,5,5,2,
2017/08/03 3:53:03 PM GMT+2,10,B,5,5,4,5,2,
2017/08/03 3:53:48 PM GMT+2,10,C,3,5,4,3,4,
2017/08/03 3:54:29 PM GMT+2,10,D,5,5,5,5,4,
2017/08/03 3:55:13 PM GMT+2,10,E,5,5,5,5,2,
2017/08/03 3:56:03 PM GMT+2,10,F,3,4,3,2,2,
2017/08/03 3:56:43 PM GMT+2,10,G,5,5,5,5,2,
2017/08/03 3:57:35 PM GMT+2,10,H,3,5,4,4,2,
2017/08/03 3:58:35 PM GMT+2,10,I,3,5,3,2,4,
2017/08/03 3:59:26 PM GMT+2,10,J,1,4,1,1,1,
2017/08/03 4:00:07 PM GMT+2,10,K,3,5,3,3,3,
2017/08/03 4:01:40 PM GMT+2,10,L,3,5,3,4,2,
2017/08/03 4:02:18 PM GMT+2,10,M,4,5,4,5,2,
2017/08/03 4:02:57 PM GMT+2,10,N,4,5,4,5,2,
2017/08/03 4:03:38 PM GMT+2,10,O,3,5,4,4,3,
2017/08/03 4:04:39 PM GMT+2,10,P,2,5,3,3,3,
2017/08/04 9:21:47 AM GMT+2,11,1,2,5,2,2,1,
2017/08/04 9:22:56 AM GMT+2,11,2,4,5,4,3,4,
2017/08/04 9:23:55 AM GMT+2,11,3,4,5,4,4,3,
2017/08/04 9:25:11 AM GMT+2,11,4,5,5,2,4,2,
2017/08/04 9:25:59 AM GMT+2,11,5,4,5,2,4,2,
2017/08/04 9:26:52 AM GMT+2,11,6,2,5,2,2,1,
2017/08/04 9:27:31 AM GMT+2,11,7,1,1,1,1,1,
2017/08/04 9:28:22 AM GMT+2,11,8,4,5,4,5,2,
2017/08/04 9:29:11 AM GMT+2,11,9,4,5,3,4,2,
2017/08/04 9:30:07 AM GMT+2,11,A,2,5,5,2,5,
2017/08/04 9:31:32 AM GMT+2,11,B,4,5,4,4,4,
2017/08/04 9:32:30 AM GMT+2,11,C,3,5,2,2,1,
2017/08/04 9:33:15 AM GMT+2,11,D,5,5,2,5,1,
2017/08/04 9:33:54 AM GMT+2,11,E,2,5,2,1,3,
2017/08/04 9:34:34 AM GMT+2,11,F,1,3,1,1,2,
2017/08/04 9:35:14 AM GMT+2,11,G,4,5,2,4,2,
2017/08/04 9:35:57 AM GMT+2,11,H,3,5,2,3,1,
2017/08/04 9:36:37 AM GMT+2,11,I,3,5,1,2,1,
2017/08/04 9:37:13 AM GMT+2,11,J,1,2,1,1,1,
2017/08/04 9:38:00 AM GMT+2,11,K,3,5,2,3,2,
2017/08/04 9:38:46 AM GMT+2,11,L,3,5,2,3,1,
2017/08/04 9:39:45 AM GMT+2,11,M,3,5,2,3,2,
2017/08/04 9:40:32 AM GMT+2,11,N,2,5,2,1,1,
2017/08/04 9:41:19 AM GMT+2,11,O,4,5,2,4,1,
2017/08/04 9:42:08 AM GMT+2,11,P,2,4,1,2,2,