participant,cue,urgency,perception,distraction,alarmingness,discomfort_pain,remarks
1,1,3,5,4,3,1,
1,2,3,5,5,2,1,
1,3,4,5,5,2,1,
1,4,4,5,5,3,1,
1,5,3,5,5,2,1,
1,6,3,4,4,2,1,
1,7,1,2,3,1,1,
1,8,4,5,5,3,1,
1,9,3,5,5,3,1,
1,A,3,5,5,3,1,
1,B,4,5,5,3,1,
1,C,4,5,5,2,1,
1,D,4,5,5,3,1,
1,E,5,5,5,5,2,
1,F,3,5,5,3,1,
1,G,5,5,5,5,2,
1,H,3,5,5,2,1,
1,I,3,5,5,3,1,
1,J,2,3,3,1,1,
1,K,4,5,5,2,1,
1,L,2,4,4,1,1,
1,M,3,5,5,2,1,
1,N,2,5,5,2,1,
1,O,3,4,4,2,1,
1,P,2,3,3,1,1,
2,1,3,4,4,3,1,
2,2,4,4,4,4,1,
2,3,5,5,5,5,1,
2,4,5,5,5,5,1,
2,5,3,4,3,3,1,
2,6,2,3,3,3,1,
2,7,1,1,1,1,1,
2,8,4,4,4,4,1,
2,9,4,4,4,4,1,
2,A,3,4,5,4,1,
2,B,4,4,4,5,1,
2,C,5,5,5,5,1,
2,D,5,5,5,5,1,
2,E,5,5,5,5,1,
2,F,2,4,2,2,1,
2,G,5,5,5,5,1,
2,H,3,4,3,3,1,
2,I,4,4,4,3,1,
2,J,3,4,4,3,1,
2,K,4,4,4,4,1,
2,L,5,4,4,4,1,
2,M,4,4,4,4,1,
2,N,4,3,4,3,1,
2,O,5,4,4,4,1,
2,P,4,4,4,4,1,
3,1,2,5,3,3,3,A bit loud. I heard it more than i felt it
3,2,4,5,4,4,3,Too much
3,3,3,5,2,3,4,
3,4,3,5,5,3,4,
3,5,3,4,2,2,4,
3,6,4,5,3,4,2,
3,7,3,4,2,2,1,
3,8,3,5,5,2,4,
3,9,2,5,2,2,4,
3,A,2,5,4,2,4,
3,B,3,5,3,3,4,
3,C,4,5,4,4,2,
3,D,5,5,4,5,2,
3,E,3,5,3,3,3,
3,F,2,5,2,3,1,
3,G,3,5,4,3,4,
3,H,3,5,3,2,4,
3,I,4,5,2,3,1,
3,J,4,5,2,3,1,
3,K,4,5,4,2,3,
3,L,5,5,3,4,2,
3,M,3,5,2,3,2,
3,N,1,5,2,2,1,
3,O,3,5,2,4,1,
3,P,2,5,3,2,1,I think the number of repetitions does not make a difference with regards to the urgency
4,1,3,4,2,4,1,
4,2,4,5,4,4,1,
4,3,3,5,3,4,1,
4,4,5,5,5,4,1,
4,5,4,5,3,3,1,
4,6,3,5,3,2,3,
4,7,3,4,3,2,2,
4,8,5,5,4,4,1,
4,9,5,5,4,5,1,
4,A,5,5,4,5,1,
4,B,5,5,4,4,3,
4,C,5,5,4,4,4,
4,D,5,5,4,5,4,
4,E,4,4,4,3,2,
4,F,2,3,2,3,1,
4,G,4,3,4,5,1,
4,H,4,5,3,4,1,
4,I,5,5,4,4,4,
4,J,2,4,3,2,2,
4,K,5,5,5,4,4,
4,L,4,5,3,4,3,
4,M,3,4,3,4,1,
4,N,3,3,3,3,1,
4,O,4,4,4,4,3,
4,P,3,4,2,2,2,
5,1,2,5,1,4,1,
5,2,4,5,2,4,1,
5,3,4,5,3,4,1,
5,4,4,5,5,5,3,
5,5,5,5,3,4,2,
5,6,3,5,2,2,1,
5,7,2,2,1,1,1,
5,8,4,5,4,4,3,
5,9,4,5,5,4,3,
5,A,5,5,5,4,3,
5,B,5,5,5,4,3,
5,C,4,5,3,3,2,
5,D,3,5,3,4,2,
5,E,3,5,2,4,1,
5,F,3,5,1,3,1,
5,G,5,5,3,5,2,
5,H,3,5,3,4,2,
5,I,3,5,2,4,2,
5,J,2,4,2,2,1,
5,K,4,5,3,4,3,
5,L,2,5,2,3,2,
5,M,3,5,1,4,1,
5,N,4,5,2,4,1,
5,O,4,5,2,4,2,
5,P,4,5,1,3,1,
6,1,4,5,2,4,1,
6,2,4,5,3,4,3,
6,3,4,5,4,5,3,
6,4,5,5,5,4,4,
6,5,4,5,4,4,3,
6,6,2,2,1,2,1,
6,7,1,2,1,1,1,
6,8,4,5,3,4,3,
6,9,4,5,4,3,3,
6,A,4,5,4,5,4,
6,B,4,5,3,3,3,
6,C,4,3,3,3,2,
6,D,4,5,2,4,1,
6,E,5,5,2,5,4,
6,F,3,5,1,2,2,
6,G,4,5,4,5,3,
6,H,3,5,3,3,2,
6,I,3,4,2,3,2,
6,J,2,3,1,2,1,
6,K,3,5,2,4,2,
6,L,2,2,1,1,1,
6,M,3,5,3,4,3,
6,N,2,5,2,2,2,
6,O,3,4,2,4,2,
6,P,2,3,2,2,1,
7,1,5,5,5,5,4,I felt shocked a little bit
7,2,4,5,4,5,4,
7,3,5,5,5,5,5,
7,4,5,5,5,5,4,
7,5,4,4,4,4,3,
7,6,3,3,4,2,3,
7,7,2,3,2,2,2,
7,8,5,5,5,3,5,
7,9,5,5,4,5,4,
7,A,4,5,5,4,5,
7,B,5,5,5,5,4,
7,C,5,5,5,5,4,
7,D,5,5,5,4,4,
7,E,5,5,3,5,3,
7,F,4,5,2,3,1,
7,G,5,5,5,4,5,
7,H,5,5,4,4,3,
7,I,5,5,4,4,4,
7,J,3,5,2,2,1,
7,K,5,5,5,4,5,
7,L,5,5,4,4,3,
7,M,5,5,4,5,4,
7,N,5,5,3,3,4,
7,O,5,5,5,4,4,
7,P,3,4,3,1,2,
8,1,2,4,2,2,2,
8,2,3,5,4,3,3,
8,3,4,4,4,4,3,
8,4,3,4,3,2,2,
8,5,3,4,3,3,3,
8,6,2,2,3,2,2,
8,7,2,2,2,1,1,
8,8,3,4,4,3,3,
8,9,3,4,3,3,2,Sounds like a highscore in a Gameboy
8,A,3,5,5,3,4,
8,B,3,5,4,3,4,
8,C,5,5,5,4,5,
8,D,5,5,4,4,4,
8,E,5,5,4,5,4,
8,F,4,4,4,4,3,
8,H,4,4,3,4,3,
8,G,4,5,4,4,3,
8,I,4,4,4,3,3,
8,J,3,3,3,2,3,
8,K,3,5,5,3,4,
8,L,4,4,3,4,3,
8,M,5,5,4,5,3,
8,N,3,5,5,4,3,
8,O,4,5,4,4,3,
8,P,4,4,4,3,3,
9,1,2,3,3,1,1,I heard it gut die Not frdl much of the vibro feedback
9,2,3,4,4,4,1,
9,3,4,5,4,4,1,
9,4,5,5,5,4,1,
9,5,4,5,3,3,1,Sounded somewhat broken
9,6,2,3,4,2,1,
9,7,1,1,2,1,1,
9,8,3,4,3,3,1,
9,9,3,4,4,3,1,Signal is a little bit too long
9,A,2,4,5,3,2,Way too lengthy
9,B,2,4,3,2,1,
9,C,3,4,4,3,2,Tickles
9,D,4,5,5,4,3,
9,E,4,5,5,5,1,
9,F,2,4,3,2,1,
9,G,4,5,5,5,1,
9,H,3,5,4,4,1,
9,I,3,4,5,3,2,Uncomfortable too have vibration on top of the head
9,J,1,2,3,2,1,
9,K,4,5,4,3,3,Tickles
9,L,3,5,4,3,2,
9,M,3,5,4,4,1,
9,N,3,5,3,3,1,"The signals should stop, after shifting the view from the target"
9,O,4,5,5,4,2,
9,P,3,5,4,3,2,
10,1,3,5,3,4,3,
10,2,4,5,4,4,4,
10,3,4,5,4,4,4,
10,4,4,5,5,4,4,
10,5,4,5,4,4,3,
10,6,4,5,5,5,4,
10,7,2,4,2,2,2,
10,8,5,5,4,5,4,
10,9,5,5,4,5,3,
10,A,5,5,5,5,2,
10,B,5,5,4,5,2,
10,C,3,5,4,3,4,
10,D,5,5,5,5,4,
10,E,5,5,5,5,2,
10,F,3,4,3,2,2,
10,G,5,5,5,5,2,
10,H,3,5,4,4,2,
10,I,3,5,3,2,4,
10,J,1,4,1,1,1,
10,K,3,5,3,3,3,
10,L,3,5,3,4,2,
10,M,4,5,4,5,2,
10,N,4,5,4,5,2,
10,O,3,5,4,4,3,
10,P,2,5,3,3,3,
11,1,2,5,2,2,1,
11,2,4,5,4,3,4,
11,3,4,5,4,4,3,
11,4,5,5,2,4,2,
11,5,4,5,2,4,2,
11,6,2,5,2,2,1,
11,7,1,1,1,1,1,
11,8,4,5,4,5,2,
11,9,4,5,3,4,2,
11,A,2,5,5,2,5,
11,B,4,5,4,4,4,
11,C,3,5,2,2,1,
11,D,5,5,2,5,1,
11,E,2,5,2,1,3,
11,F,1,3,1,1,2,
11,G,4,5,2,4,2,
11,H,3,5,2,3,1,
11,I,3,5,1,2,1,
11,J,1,2,1,1,1,
11,K,3,5,2,3,2,
11,L,3,5,2,3,1,
11,M,3,5,2,3,2,
11,N,2,5,2,1,1,
11,O,4,5,2,4,1,
11,P,2,4,1,2,2,